video_id,channel_id,video_title,channel_title,category_name,live_upcoming_none,view_count,like_count,dislike_count,comment_count,published_at,tags,duration,definition,caption,thumbnail,url
d1eEWihvwpQ,UCXIJgqnII2ZOINSWNOGFThA,who declares coronavirus outbreak a pandemic,Fox News,News & Politics,none,456664,3629,0,1954,2020-03-11T16:50:56Z,"fox news alert,breaking news,fox,news,fox news channel,corona,corona virus,virus,coronavirus,pandemic,WHO,world health,world health organization,breaking,health,coronavirus pandemic,covid,covid 19,covid19,coronavirus news",PT51S,hd,True,https://i.ytimg.com/vi/d1eEWihvwpQ/default.jpg,https://www.youtube.com/watch?v=d1eEWihvwpQ
lydWQoqDNp8,UCXIJgqnII2ZOINSWNOGFThA,tucker coronavirus pandemic is a real fear,Fox News,News & Politics,none,458912,9084,0,2277,2020-02-25T02:20:00Z,"health,coronavirus,china,wuhan china,novel coronavirus,tucker carlson,tucker carlson monologue,carlson,carlson monologue,tucker,tucker monologue,tucker carlson corona virus,tucker carlson tonight,china us relationship,spread of coronavirus,fnc,fox news,fox news channel,fox news media,fox news network,wuhan virus,tucker carlson virus,coronavirus economy,economic impact of coronavirus,US dependent on china,Tucker Carlson US economy,Fox News Tucker Carlson",PT2M48S,hd,True,https://i.ytimg.com/vi/lydWQoqDNp8/default.jpg,https://www.youtube.com/watch?v=lydWQoqDNp8
u9tLP9y6mPQ,UCXIJgqnII2ZOINSWNOGFThA,small business saturday is more important than ever amid coronavirus pandemic,Fox News,News & Politics,none,28062,511,0,249,2020-11-27T16:50:33Z,"Fox News Channel,Fox News,News,health,personality,Fox News live,FNC,America's Newsroom,Cheryl Casone,Julie Banderas,small businesses,Small Business Saturday,holiday shopping,shoppers,supporting small businesses,Americans spending billions of dollars on Small Business Saturday,ppp loans,coronavirus,coronavirus pandemic,jobs,employment,COVID-19,COVID-19 pandemic,pandemic,retailers,safety measures,capacity,shopping,vaccines,coronavirus vaccines,private sector",PT3M54S,hd,True,https://i.ytimg.com/vi/u9tLP9y6mPQ/default.jpg,https://www.youtube.com/watch?v=u9tLP9y6mPQ
jXHikITwlng,UCXIJgqnII2ZOINSWNOGFThA,bill gates on his  virus warning efforts to fight coronavirus pandemic,Fox News,News & Politics,none,887391,8239,0,12411,2020-04-05T18:50:02Z,"Fox News Channel,Fox News,News,fox news sunday,health,tech,Fox News Sunday,Chris Wallce,Bill Gates,Bill and Melinda Gates,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,social distancing,white house,coronavirus relief bill",PT12M29S,hd,True,https://i.ytimg.com/vi/jXHikITwlng/default.jpg,https://www.youtube.com/watch?v=jXHikITwlng
lp2czs3U8Qk,UCXIJgqnII2ZOINSWNOGFThA,missouri becomes first state to sue china over coronavirus pandemic,Fox News,News & Politics,none,450344,8797,0,4721,2020-04-22T04:15:00Z,"Missouri,Missouri sues China,Missouri Attorney General,Missouri Attorney General sues china,Eric Schmitt,china hoards PPE,missouri sues china,missouri suing china,missouri lawsuit china,missouri sue china,missouri lawsuit against china,covid 19,tucker carlson missouri,tucker carlson eric schmitt,eric schmitt china,fnc,fox news,fox news channel,fox news media,fox news network,tucker,tucker carlson,tucker carlson tonight,tucker tonight,coronavirus,pandemic",PT2M50S,hd,True,https://i.ytimg.com/vi/lp2czs3U8Qk/default.jpg,https://www.youtube.com/watch?v=lp2czs3U8Qk
ACLU0OxWisE,UCXIJgqnII2ZOINSWNOGFThA,ingraham coronavirus pandemic spreads through us,Fox News,News & Politics,none,381347,7002,0,2890,2020-03-13T04:00:05Z,"Coronavirus,covid-19,coronavirus outbreak,coronavirus fears,pandemic,coronavirus pandemic,united states coronavirus,coronavirus response,media coronavirus,CNN coronavirus corovergae,fnc,fox news,fox news channel,fox news media,fox news network,fox news ingraham angle,ingraham,ingraham angle,ingraham angle monologue,ingraham angle tonight,ingraham tonight,laura ingraham,laura ingraham angle,laura ingraham monologue,the ingraham angle",PT5M52S,hd,True,https://i.ytimg.com/vi/ACLU0OxWisE/default.jpg,https://www.youtube.com/watch?v=ACLU0OxWisE
-r_C-QsWEak,UCXIJgqnII2ZOINSWNOGFThA,fauci redfield testify before house on coronavirus crisis,Fox News,News & Politics,none,165295,1331,0,614,2020-07-31T17:40:32Z,"Fox News,Fox News Channel,Fox News Channel Live,Fox News Live,House eharing,fox news house hearing,fox news house coronavirus hearing,dr. fauci live,fauci testify,anthony fauci,dr. anthony fauci,fox news fauci testify live,robert redfield,fox news robert redfield live,House Select Subcommittee on the Coronavirus Crisis,live,live stream,fox news house democrats,fox news house republicans",PT3H47M54S,hd,True,https://i.ytimg.com/vi/-r_C-QsWEak/default.jpg,https://www.youtube.com/watch?v=-r_C-QsWEak
zwX5z_BvaN4,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,43161,636,0,180,2020-03-16T18:12:18Z,"Fox News Channel,Fox News,News,FNC,outnumbered overtime,harris faulkner,harris faulkner fox news,harris faulkner outnumbered overtime,dr siegel,mark seigel,dr mark seigel fox news,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus in the us,trump,trump coronavirus,trump coronavirus task force,coronavirus task force,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates",PT7M33S,hd,True,https://i.ytimg.com/vi/zwX5z_BvaN4/default.jpg,https://www.youtube.com/watch?v=zwX5z_BvaN4
eT47ulzfOMo,UCXIJgqnII2ZOINSWNOGFThA,sources coronavirus pandemic may have started in chinese laboratory,Fox News,News & Politics,none,1060609,9050,0,4921,2020-04-15T23:40:08Z,"wuhan lab incident,wuhan lab,patient zero,wuhan patient zero,china laboratory,china laboratory incident,chinese laboratory inceident,chinese laboratory,coronavirus outbreak,wuhan coronavirus,novel coronavirus,wuhan virus,fnc,fox news,fox news channel,fox news media,fox news network,John Roberts,Bret Baier,Bret Baier Special Report,Special Report Bret Baier,coronavirus,coronavirus pandemic,coronavirus updates,pandemic,COVID-19",PT3M11S,hd,True,https://i.ytimg.com/vi/eT47ulzfOMo/default.jpg,https://www.youtube.com/watch?v=eT47ulzfOMo
6G_-qe0iMBs,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,41427,398,0,170,2020-03-16T18:24:00Z,"Fox News Channel,Fox News,News,FNC,harris faulkner,harris faulkner fox news,outnumbered overtime,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus in the us,trump,trump coronavirus,trump coronavirus task force,coronavirus task force,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates,pandemic",PT4M21S,hd,True,https://i.ytimg.com/vi/6G_-qe0iMBs/default.jpg,https://www.youtube.com/watch?v=6G_-qe0iMBs
